,std_dev_age,native_share,education_variability,job_variability,frac_employed,median_income,gini_index,Lindqvist_Ostling_S1,Abramowitz_Saunders_S1,Duca_Saving_S1,Lindqvist_Ostling_S2,Abramowitz_Saunders_S2,Duca_Saving_S2,Lindqvist_Ostling_S3,Abramowitz_Saunders_S3,Duca_Saving_S3
std_dev_age,1.0,0.6768455389601302,-0.3959030755439613,-0.39590307554396137,-0.9679638226006837,-0.14639530778717852,-0.8793728156008436,-0.8223583518525381,0.9760728262429397,0.9797843888957717,0.9795528424774571,0.9762499669941929,0.9810276979216987,-0.9257010422854675,0.9343552315629741,0.9720356545199225
native_share,0.6768455389601302,1.0,-0.23810307213670037,-0.23810307213670037,-0.6592972516619877,-0.23303044435555229,-0.7493824242783808,-0.5038939265477707,0.6924332536957749,0.6952839483744708,0.6946895333881294,0.671235818379348,0.6973702310200112,-0.6245461234476396,0.6663941234092708,0.6899718712099223
education_variability,-0.3959030755439613,-0.23810307213670037,1.0,1.0,0.2548759156939668,-0.3054763716935785,0.22270194854169886,0.4017718887492682,-0.37551375845777313,-0.39962472297402757,-0.3989460511867781,-0.39788589354171416,-0.3958835699635307,0.47188065126188605,-0.2771255695769063,-0.41434274627258966
job_variability,-0.39590307554396137,-0.23810307213670037,1.0,1.0,0.2548759156939669,-0.3054763716935785,0.22270194854169886,0.40177188874926817,-0.3755137584577733,-0.3996247229740276,-0.39894605118677806,-0.3978858935417142,-0.39588356996353075,0.4718806512618861,-0.27712556957690637,-0.4143427462725898
frac_employed,-0.9679638226006837,-0.6592972516619877,0.2548759156939668,0.2548759156939669,1.0,0.209151327486673,0.9158586280507552,0.7914995641249836,-0.9733655716951255,-0.9733158724561032,-0.9730646377465222,-0.9676769482753302,-0.9735259396939204,0.8711325786635201,-0.9638402861099514,-0.9620576163368794
median_income,-0.14639530778717852,-0.23303044435555229,-0.3054763716935785,-0.3054763716935785,0.209151327486673,1.0,0.24085720109085432,0.02533058430917973,-0.10646151149989748,-0.06657892899541608,-0.0707102119147049,-0.038473620538695394,-0.07953133791379774,0.18248937065466772,-0.050258298718466314,-0.039392502704950504
gini_index,-0.8793728156008436,-0.7493824242783808,0.22270194854169886,0.22270194854169886,0.9158586280507552,0.24085720109085432,1.0,0.7586972664906528,-0.9299520006637731,-0.9170694855778782,-0.9200708873944936,-0.9041378777920976,-0.9231839278889072,0.8030162606819351,-0.9283279034116338,-0.9162131152017471
Lindqvist_Ostling_S1,-0.8223583518525381,-0.5038939265477707,0.4017718887492682,0.40177188874926817,0.7914995641249836,0.02533058430917973,0.7586972664906528,1.0,-0.7888936215764004,-0.8207366358234649,-0.8128903602670758,-0.7951452864075553,-0.8283510662887075,0.9104707807029625,-0.7384810683676091,-0.8102197841258582
Abramowitz_Saunders_S1,0.9760728262429397,0.6924332536957749,-0.37551375845777313,-0.3755137584577733,-0.9733655716951255,-0.10646151149989748,-0.9299520006637731,-0.7888936215764004,1.0,0.9957858443855506,0.9973520935582584,0.9932546311837717,0.9965608494794213,-0.8805982538781182,0.9804335173078765,0.9943200843606087
Duca_Saving_S1,0.9797843888957717,0.6952839483744708,-0.39962472297402757,-0.3996247229740276,-0.9733158724561032,-0.06657892899541608,-0.9170694855778782,-0.8207366358234649,0.9957858443855506,1.0,0.9994651286202757,0.995366357276522,0.999517128948867,-0.894951849268063,0.9753354181858583,0.9979027833740436
Lindqvist_Ostling_S2,0.9795528424774571,0.6946895333881294,-0.3989460511867781,-0.39894605118677806,-0.9730646377465222,-0.0707102119147049,-0.9200708873944936,-0.8128903602670758,0.9973520935582584,0.9994651286202757,1.0,0.9971732036424635,0.9993675091267769,-0.8894615239095776,0.9782787837195537,0.9979579956919536
Abramowitz_Saunders_S2,0.9762499669941929,0.671235818379348,-0.39788589354171416,-0.3978858935417142,-0.9676769482753302,-0.038473620538695394,-0.9041378777920976,-0.7951452864075553,0.9932546311837717,0.995366357276522,0.9971732036424635,1.0,0.9944751601939052,-0.8678757851527578,0.9810947685163899,0.9959344859440957
Duca_Saving_S2,0.9810276979216987,0.6973702310200112,-0.3958835699635307,-0.39588356996353075,-0.9735259396939204,-0.07953133791379774,-0.9231839278889072,-0.8283510662887075,0.9965608494794213,0.999517128948867,0.9993675091267769,0.9944751601939052,1.0,-0.9015761406141152,0.9740790822042071,0.9970257194446026
Lindqvist_Ostling_S3,-0.9257010422854675,-0.6245461234476396,0.47188065126188605,0.4718806512618861,0.8711325786635201,0.18248937065466772,0.8030162606819351,0.9104707807029625,-0.8805982538781182,-0.894951849268063,-0.8894615239095776,-0.8678757851527578,-0.9015761406141152,1.0,-0.7870969920314947,-0.8758301541612371
Abramowitz_Saunders_S3,0.9343552315629741,0.6663941234092708,-0.2771255695769063,-0.27712556957690637,-0.9638402861099514,-0.050258298718466314,-0.9283279034116338,-0.7384810683676091,0.9804335173078765,0.9753354181858583,0.9782787837195537,0.9810947685163899,0.9740790822042071,-0.7870969920314947,1.0,0.9788172674937952
Duca_Saving_S3,0.9720356545199225,0.6899718712099223,-0.41434274627258966,-0.4143427462725898,-0.9620576163368794,-0.039392502704950504,-0.9162131152017471,-0.8102197841258582,0.9943200843606087,0.9979027833740436,0.9979579956919536,0.9959344859440957,0.9970257194446026,-0.8758301541612371,0.9788172674937952,1.0
