,std_dev_age,native_share,education_variability,job_variability,frac_employed,median_income,gini_index,Lindqvist_Ostling_S1,Abramowitz_Saunders_S1,Duca_Saving_S1,Lindqvist_Ostling_S2,Abramowitz_Saunders_S2,Duca_Saving_S2,Lindqvist_Ostling_S3,Abramowitz_Saunders_S3,Duca_Saving_S3
std_dev_age,1.000,0.344,-0.467,-0.467,-0.252,-0.355,-0.029,-0.032,-0.171,0.247,-0.055,-0.287,0.428,-0.404,-0.279,-0.109
native_share,0.344,1.000,0.114,0.114,-0.326,-0.758,-0.788,-0.053,-0.057,-0.177,-0.120,-0.125,-0.033,-0.062,0.313,-0.756
education_variability,-0.467,0.114,1.000,1.000,-0.447,-0.177,-0.152,0.495,0.575,0.270,0.542,0.670,-0.412,0.289,0.321,-0.081
job_variability,-0.467,0.114,1.000,1.000,-0.447,-0.177,-0.152,0.495,0.575,0.270,0.542,0.670,-0.412,0.289,0.321,-0.081
frac_employed,-0.252,-0.326,-0.447,-0.447,1.000,0.655,0.159,-0.511,-0.562,-0.273,-0.598,-0.640,0.080,-0.195,-0.423,0.293
median_income,-0.355,-0.758,-0.177,-0.177,0.655,1.000,0.689,-0.011,-0.070,0.086,-0.065,-0.086,0.216,0.095,-0.292,0.706
gini_index,-0.029,-0.788,-0.152,-0.152,0.159,0.689,1.000,0.262,0.229,0.225,0.153,0.094,0.502,-0.103,-0.365,0.478
Lindqvist_Ostling_S1,-0.032,-0.053,0.495,0.495,-0.511,-0.011,0.262,1.000,0.956,0.765,0.897,0.819,0.299,0.638,0.604,-0.131
Abramowitz_Saunders_S1,-0.171,-0.057,0.575,0.575,-0.562,-0.070,0.229,0.956,1.000,0.592,0.894,0.871,0.220,0.631,0.669,-0.192
Duca_Saving_S1,0.247,-0.177,0.270,0.270,-0.273,0.086,0.225,0.765,0.592,1.000,0.705,0.523,0.137,0.419,0.225,0.200
Lindqvist_Ostling_S2,-0.055,-0.120,0.542,0.542,-0.598,-0.065,0.153,0.897,0.894,0.705,1.000,0.950,0.097,0.705,0.631,0.087
Abramowitz_Saunders_S2,-0.287,-0.125,0.670,0.670,-0.640,-0.086,0.094,0.819,0.871,0.523,0.950,1.000,-0.092,0.740,0.685,0.068
Duca_Saving_S2,0.428,-0.033,-0.412,-0.412,0.080,0.216,0.502,0.299,0.220,0.137,0.097,-0.092,1.000,-0.087,-0.062,-0.164
Lindqvist_Ostling_S3,-0.404,-0.062,0.289,0.289,-0.195,0.095,-0.103,0.638,0.631,0.419,0.705,0.740,-0.087,1.000,0.873,0.013
Abramowitz_Saunders_S3,-0.279,0.313,0.321,0.321,-0.423,-0.292,-0.365,0.604,0.669,0.225,0.631,0.685,-0.062,0.873,1.000,-0.394
Duca_Saving_S3,-0.109,-0.756,-0.081,-0.081,0.293,0.706,0.478,-0.131,-0.192,0.200,0.087,0.068,-0.164,0.013,-0.394,1.000
